Naam aanvrager;Vestigingsplaats;Toegekend bedrag
CROWD SUPPORT SERVICES B.V.;ZWOLLE;8.010
CROWDABOUTNOW B.V.;UTRECHT;14.700
CROWDLED B.V.;UTRECHT;20.106
CROWN BEDRIJFSDIENSTEN B.V.;AMSTERDAM;9.762
CROWN CARE B.V.;HOORN NH;3.330
CROWN CONSULTANCY B.V.;DRIEHUIS NH;19.740
CROWN FINE ART B.V..;AMSTERDAM;83.175
CROWN GILLMORE B.V.;WOUDENBERG;38.088
CROWN INTERNATIONAL B.V.;OLDENZAAL;22.470
CROWN UITZENDGROEP B.V.;VEGHEL;156.312
CROWN UITZENDGROEP B.V.;VEGHEL;17.727
CROWN VAN GELDER B.V.;VELSEN-NOORD;630.975
CROWN WORLDWIDE TRANSPORT B.V.;AMSTERDAM;44.115
CRS SIGN B.V.;WORMERVEER;6.324
CRUIJSEN;STEVENSBEEK;1.029
CRUIJSSEN;VOORBURG;2.298
CRUISE COMMERCE B.V.;ARNHEM;17.850
CRUISE EVENTS HOLDING BV;AMSTERDAM;26.049
CRUISE TOURS BENELUX B.V.;AMSTERDAM;48.501
CRUISE TRAVEL NEDERLAND B.V.;ERMELO;105.555
CRUISELINES NIJMEGEN B.V.;HEESCH;14.157
CRUISEREIZEN B.V.;ROTTERDAM;153.729
CRUISEWINKEL.NL B.V.;AMSTERDAM;59.607
CRUISINC SUPPORT B.V.;ARNHEM;73.209
CRUM EVENTRAVEL B.V.;EMMEN;5.403
CRUM SERVICESTATION B.V.;CULEMBORG;2.508
CRUNCH ANALYTICS NL B.V.;ROTTERDAM;6.957
CRUSADER INVESTMENTS B.V.;AMSTERDAM;317.184
CRUSADER INVESTMENTS B.V.;AMSTERDAM;290.370
CRUSIO;ROOSENDAAL;7.593
CRUSIO THEE B.V.;HALSTEREN;2.028
CRYO CENTER NEDERLAND B.V.;'S-GRAVENHAGE;522
CRYO SISTERS B.V.;AMSTERDAM;44.682
CRYO STORE B.V.;JOURE;13.494
CRYOSAUNA NEDERLAND B.V.;BUNNIK;4.638
CRYPTOMNESIA B.V.;'S-GRAVENHAGE;11.625
CRYPTON B.V.;AMSTERDAM;16.128
CRYSTAL BLOCKCHAIN B.V.;AMSTERDAM;5.109
CRYSTAL CINE CAFE & RESTAURANT B.V.;ARNHEM;17.421
CRYSTAL EVENTS B.V.;ZETTEN;21.711
CRYSTAL PROMOTIONS B.V.;WEESP;19.563
CRYSTAL RIVER CRUISES OPERATIONS    COÖPERATIEF U.A.;AMSTERDAM;178.146
CRYSTAL TOUCH B.V.;ROTTERDAM;3.258
CRYSTAL VIEWING CONSULTANCY B.V.;HILLEGOM;2.217
CS 24 B.V.;AMSTERDAM;18.126
CS AUTOMATEN B.V.;VENLO;7.023
CS DIGITAL MEDIA B.V.;AMSTERDAM;138.849
CS NOORDAM;SCHIPLUIDEN;3.414
CS TELECOM B.V.;'S-GRAVENHAGE;9.993
CSE EUROPE B.V.;PAPENDRECHT;25.689
CSI - CARGO SHIPPING INTERNATIONAL  B.V.;ROTTERDAM;13.206
CSI CONTROL SYSTEMS B.V.;VLAARDINGEN;23.742
CSM BAKERY SOLUTIONS EUROPE HOLDING B.V.;AMSTERDAM;90.726
CSM BENELUX B.V.;GOES;382.320
CSO INTERNATIONAL B.V.;SCHIPHOL-RIJK;8.682
CSS2 CONSULTING B.V.;BRUNSSUM;11.202
CST AUTOMATISERING B.V.;APELDOORN;1.692
CSUPPORT V.O.F.;HELMOND;1.815
CT FOOD GROUP B.V.;NEEDE;2.283
CT ZIJLMANS;TERHEIJDEN;4.236
CTB FACILITAIR B.V.;EDE GLD;9.270
CTB XRM B.V.;EDE GLD;36.849
CTC BEHEER BV;AMSTERDAM;48.570
CTC TRANSPORT B.V.;ELSLOO LB;11.676
CTE TECHNOS (EUROPE) B.V.;'S-GRAVENHAGE;5.727
CTG GROUP B.V.;KERKDRIEL;12.777
CTH BEHEER B.V.;AALSMEER;16.104
CTI MARKETING B.V.;HILVERSUM;5.733
CTLOOP B.V.;TIEL;3.678
CTM ENTERTAINMENT B.V.;HILVERSUM;19.722
CTM MUSIC B.V.;HILVERSUM;3.978
CTM PRODUCTIONS B.V.;HILVERSUM;4.422
CTM PUBLISHING B.V.;HILVERSUM;22.062
CTM SOLUTION B.V.;AMSTERDAM;23.760
CTS EVENTIM NEDERLAND B.V.;HOOFDDORP;440.769
CTS IT B.V.;EDE GLD;71.313
CTS ZEILMAKERIJ B.V.;HARDERWIJK;11.490
CTSN EVENTS B.V.;HOOFDDORP;23.886
CTSN GROUP B.V.;HOOFDDORP;61.206
CTSN SERVICES B.V.;HOOFDDORP;24.045
CU BEERENS;OOSTERHOUT NB;5.412
CUBORD RECLAMEBORDEN B.V.;ROTTERDAM;57.087
CUCINA B.V.;ZWIJNDRECHT;4.662
CUCINIELLO;LIJNDEN;7.185
CUCINIELLO;LIJNDEN;6.615
CUCU B.V.;ZWIJNDRECHT;10.086
CUE 4 YOU B.V.;DIEMEN;10.572
CUE ACTION DRACHTEN B.V.;ROTTERDAM;24.687
CUE BREDA B.V.;BREDA;8.022
CUE SALE B.V.;EIJSDEN;16.200
CUE4 B.V.;EIJSDEN;4.557
CUELENAERE AUTOBEDRIJF B.V.;STEENBERGEN NB;7.530
CUELENAERE CARCLEANING B.V.;STEENBERGEN NB;2.607
CUENEN B.V.;MAASTRICHT;5.952
CUESUPPORT B.V.;WEESP;70.542
CUFIN KASSA B.V.;REEUWIJK;13.593
CUHABO B.V.;'S-HERTOGENBOSCH;12.963
CUIJPERS;LOMMEL;3.966
CUIJPERS SERVICES B.V.;ELSLOO LB;119.160
CUIJPERS SERVICES NEDERLAND B.V.;ELSLOO LB;236.556
CUIJTEN MAINTENANCE SERVICES B.V.;MAARHEEZE;59.415
CUIMED.V.O.F.;ELST GLD;2.625
CUISINE CULINAIRE NIJMEGEN;NIJMEGEN;984
CUKO;GELEEN;4.914
CUL B.V.;TILBURG;6.465
CULICAFE TOV B.V.;ZAANDAM;10.689
CULIFINE IMPORT B.V.;IJSSELSTEIN UT;4.203
CULIMER EUROPE B.V.;ROTTERDAM;27.576
CULINAIR MINDS B.V.;EINDHOVEN;38.502
CULINAIR PAKHUYS B.V.;TETERINGEN;5.373
CULINAIR WONDER GROEP B.V.;AMSTERDAM-DUIVENDRECHT;5.865
CULINAIRE DIENSTEN WILLEMSEN B.V.;RIDDERKERK;10.416
CULINAIRE GILDE BRABANCONNE;VELDHOVEN;3.537
CULITECH BENELUX B.V.;VOORTHUIZEN;6.513
CULLEN CLEANING SERVICES B.V.;HOOFDDORP;301.830
CULLINAN ACADEMY B.V.;AMSTERDAM;21.162
CULTURA B.V.;BERGEN OP ZOOM;18.351
CULTURE MIX B.V.;UTRECHT;5.043
CULTUREEL CENTRUM DE HAANDERT B.V.;TEGELEN;15.312
CULTUURPLEIN B.V.;DEURNE;18.273
CUM LAUDE EVENTS B.V.;ZWIJNDRECHT;343.347
CUM LAUDE SCHOONMAAKSERVICE B.V.;DEN HELDER;25.530
CUNADOS HORECA B.V.;AMSTERDAM;32.190
CUPKING B.V.;LEEUWARDEN;11.688
CUPPENS;WASSENAAR;2.307
CURASOFT B.V.;ZAANDIJK;7.752
CURATEC B.V.;ALMERE;48.057
CURDIN TRADING B.V.;HOOGVLIET ROTTERDAM;3.807
CURE TECHNISCHE PROJECTEN B.V.;DORDRECHT;37.923
CURFS INTERIEURBOUW B.V.;MEERSSEN;12.579
CURIEMED B.V.;BEEKBERGEN;3.573
CURIS;BENEDEN-LEEUWEN;10.836
CURLS AND MORE NEDERLAND B.V.;VELP GLD;1.107
CURRENT 4ALL B.V.;DEVENTER;432.960
CURRIE EUROPEAN TRANSPORT B.V.;TIEL;43.572
CURSOR ASSET MANAGEMENT B.V.;EELDE;13.083
CURSUSCENTRUMGROEN B.V.;EDE GLD;6.923
CURTIS V.O.F.;AMERSFOORT;3.939
CURVES EUROPE B.V.;AMSTERDAM;23.910
CURVES HOLLAND B.V.;ARNHEM;3.555
CUSTERS;OOSTRUM LB;3.375
CUSTOM EXPO B.V.;EMMELOORD;42.960
CUSTOM MADE STEELPRODUCTS B.V.;BROEK OP LANGEDIJK;4.884
CUSTOM POWDERS B.V.;HELMOND;38.730
CUSTOMAX B.V.;AMSTERDAM;3.225
CUSTOMERFACTORY B.V.;'S-GRAVENHAGE;25.008
CUSTOMICE B.V.;ALKMAAR;4.953
CUSTOMIZED MEDIA B.V.;AMSTERDAM;27.825
CUSTOMMATE B.V.;WERKENDAM;31.719
CUZDAN;ZUIDLAREN;2.892
"CV ""SPIJKERBAK""";LEIDEN;855
CV DE VONDEL;'S-GRAVENHAGE;3.819
CV HET KAASATELIER;OUD GASTEL;243
CV HET UDDELERMEER;ERMELO;39.507
CV THE ROSE;ALKMAAR;8.241
CV VERKEERSSCHOOL DIBO;EMMEN;28.413
CVA MODE WEERT B.V.;WEERT;15.210
CVAK PERSONEELSDIENSTEN B.V.;ZOETERMEER;9.690
C-VENTUS OFFSHORE WINDFARM SERVICES B.V.;IJMUIDEN;52.956
CVM HOTELS B.V.;DEN BURG;14.517
CVRD FASHION B.V.;AMSTERDAM;4.413
CVV SPARTA ENSCHEDE;ENSCHEDE;8.529
CW Bakker-van der STEL;ETTEN-LEUR;2.040
CW HOF;DEVENTER;6.840
CW TECHNIEK B.V.;STADSKANAAL;110.766
CWT GLOBAL B.V.;AMSTERDAM;336.501
CWT NEDERLAND B.V.;AMSTERDAM;634.074
CYAAN & ALLANT V.O.F.;OOST WEST EN MIDDELBEERS;1.101
CYBER & MASON SSC B.V.;AMERSFOORT;38.028
CYBERDIGMA B.V.;UTRECHT;19.338
CYCAS HOSPITALITY B.V.;AMSTERDAM;162.441
CYCLE CONCEPTS AMSTERDAM B.V.;AMSTERDAM;34.827
CYCLE CONCEPTS DE PIJP B.V.;AMSTERDAM;9.474
CYCLESTATION SCHAIJK V.O.F.;SCHAIJK;891
CYCLETOURS HOLLAND B.V.;AMSTERDAM;30.312
CYCLING EVERS V.O.F.;MAASTRICHT;1.728
CYCLINGLAB B.V.;AMSTERDAM;9.039
CYELL B.V.;ALDE LEIE;33.033
CYGNI NEDERLAND B.V.;AMSTERDAM;22.698
CYGNIFIC B.V.;AMSTERDAM;3.543.708
CYKO HYDRAULIEK B.V.;GOOR;12.351
CYLLARUS B.V.;APELDOORN;9.657
CYMAC B.V.;SAPPEMEER;5.772
CYNDYL B.V.;BARENDRECHT;3.498
CYNTHIA CONSULTANCY B.V.;HARDERWIJK;4.230
CYPCAR-GOLY;ALKMAAR;2.889
CYS GROUP B.V.;HEYTHUYSEN;52.275
CYSOUW OPTIEK B.V.;TERNEUZEN;11.364
CYTOBUOY B.V.;WOERDEN;16.272
CZAR.NL B.V.;AMSTERDAM;51.477
CZECH;JULIANADORP;32.301
D & A MEDICAL GROUP B.V.;WAARDENBURG;193.641
D & B CLEANING B.V.;AMSTELVEEN;63.693
D & B FACILITY B.V.;AMSTELVEEN;215.604
D & B FACILITY MANAGEMENT B.V.;AMSTELVEEN;54.822
D & B MOBILITY B.V.;AMSTELVEEN;50.355
D & B SECURITY B.V.;AMSTELVEEN;273.165
D & B THE FACILITY GROUP B.V.;AMSTELVEEN;172.137
D & D DESIGN B.V.;AMSTERDAM;3.657
D & F COMMODITY TRADE B.V.;CULEMBORG;525.810
D & K KAPPERS V.O.F.;'S-GRAVENHAGE;1.182
D AHARON;NOORDEN;2.541
D AKSU;AMSTERDAM;6.123
D Bal-van LENTHE;BORNE;1.389
D BEERLAGE;HENGELO OV;3.279
D Boudewijn-HOL;GELDERMALSEN;3.321
D BRUCE TAGOE;UTRECHT;1.908
D CERAN;ENSCHEDE;4.356
D CIMEN;'S-GRAVENHAGE;4.443
D CVETKOVIC;BREDA;13.770
D den HARTOG;NIEUWEGEIN;2.157
D El AICHI;IJMUIDEN;2.550
D ERGINCANLI;'S-GRAVENHAGE;396
D ESSELMAN;SOEST;5.325
D GEERS;WADDINXVEEN;3.558
D GERRITSE;LISSE;11.895
D Hof-REUVERS;BALKBRUG;2.223
D Huis in het Veld;GROENLO;3.189
D IWAN;AMSTERDAM;21.831
D JOVANOVIC;'S-GRAVENHAGE;3.267
D KLAVER;TYTSJERK;5.832
D KUIJPERS;UITHOORN;642
D LAGARDE;ETTEN-LEUR;5.226
D MARKS;MAASTRICHT;5.778
D MARMANN;RIEMST;3.597
D MIRZA;DELDEN;6.249
D PASTERKAMP;KAMPEN;990
D PENNINKHOF;DALFSEN;936
D Philipp-SOMMER;SPIJKENISSE;2.346
D PIJNACKER;ZEEWOLDE;2.139
D Poortman-STEGEMAN;HOLTEN;5.586
D RAMKHELAWAN;ZEIST;2.535
D SCHOUWENBURG;BARENDRECHT;3.465
D SIGN MARKING B.V.;WASSENAAR;63.702
D SINGH;AMSTERDAM;1.932
D Smit-van WILLIGEN;CAPELLE AAN DEN IJSSEL;273
D SONNEVELD B.V.;WADDINXVEEN;11.133
D TIMP;PURMEREND;3.831
D TIMP;PURMEREND;3.621
D TOMASSEN;MAASTRICHT;23.097
D TSANTOS;ROOSENDAAL;27.069
D TURKMEN;AMSTERDAM;624
D UGUR;BERGEN OP ZOOM;1.632
D van der VEN;ROTTERDAM;927
D van LEIJENHORST;PUTTEN;3.324
D VAN LOON;POPPEL;4.869
D van SANTEN;ZUIDOOSTBEEMSTER;8.727
D van VEEN;ENSCHEDE;3.267
D VERWEIJ;HILVERSUM;6.750
D Wesseling-GOUDKUIL;'S-GRAVENHAGE;1.524
D&B RETAIL VASTGOEDADVISEURS B.V.;AMSTERDAM;3.015
D&F TECHNIEK SERVICE B.V.;ROTTERDAM;16.680
D&J ZIJDERVELD V.O.F.;UTRECHT;76.344
D&S SCHOONMAAK B.V.;ZAANDAM;59.556
D&T MODE B.V.;UDENHOUT;2.202
D&T RETAIL B.V.;ROTTERDAM;3.642
D&V HORECA B.V.;HAARLEM;12.396
'D. DE GROOT' C.V.;VEENDAM;696
D. EN D. BOELHOUWERS V.O.F.;BRIELLE;8.400
D. EN D. YILDIZ T.H.O.D.N. SUNDAY'S DEN BOSCH;'S-HERTOGENBOSCH;7.582
D. HARTOG HAARMODE 'S-HERTOGENBOSCH B.V.;'S-HERTOGENBOSCH;6.795
D. HELLINGMAN EN ZOON B.V.;ZAANDAM;194.067
D. KARIMI & M.J H. HOOGVLIET T.H.O.D.N. EAZIE SALADS WOK SMOOTHIES;ZAANDAM;14.316
D. RASENBERG HOLDING B.V.;CROMVOIRT;1.794
D. VAN DEN BOSCH MOSSELKWEEK B.V.;YERSEKE;20.430
D. VAN DIJK V.O.F.;NIEUWLEUSEN;912
D. VERHEIJ METAALHANDEL B.V.;GROOT-AMMERS;2.034
D. ZONNEVELD TRANSPORT B.V.;MAASDIJK;47.571
D.C. SECURITY SUPPORT B.V.;ALMERE;104.896
D.C. VAN GEEST POTPLANTEN B.V.;'S-GRAVENZANDE;44.871
D.C.C. PAYROLL B.V.;BERKEL EN RODENRIJS;43.137
D.C.U. B.V.;ZAANDAM;119.913
D.D. REKLAME B.V.;SLIEDRECHT;51.228
D.E. BUUR TELECOM B.V.;TWELLO;1.785
D.E.G. NEDERLAND B.V.;KAMPEN;4.824
D.E.V. EMMEN B.V.;EMMEN;13.545
D.F.M. BLOEMENCENTRALE B.V.;OSS;161.562
D.G. VAN DAM HOLDING B.V.;HELLENDOORN;5.880
D.G. VAN DE NADORT EN ZOON B.V.;DORDRECHT;7.296
D.I.P. B.V.;DONGEN;3.180
D.I.T. B.V.;DINXPERLO;10.950
D.J. MARTENS BEHEER B.V.;AMSTERDAM;1.047
D.J. MIDDELKOOP & ZONEN NIEUW VENNEPB.V.;NIEUW-VENNEP;180.699
D.J.C. VERMOEN & ZOON B.V.;ZWIJNDRECHT;6.327
D.L. BEERS BEHEER B.V.;HOOFDDORP;1.677
D.M.J. (CARDIFF) LIMITED;'S-GRAVENHAGE;6.300
D.N.A. UNITED FORWARDERS B.V.;BREDA;52.638
D.O.E.N. B.V.;WIJCHEN;3.639
D.O.L.HOUSE B.V.;AMSTERDAM;5.364
D.O.N. BOUW B.V.;CUIJK;74.247
D.P. FRIESLAND B.V.;UTRECHT;3.711
D.P. HILVERSUM B.V.;UTRECHT;10.359
D.P. HILVERSUM B.V.;UTRECHT;10.230
D.P. HILVERSUM B.V.;UTRECHT;9.720
D.P. HILVERSUM B.V.;UTRECHT;8.523
D.P. HILVERSUM B.V.;UTRECHT;7.920
D.P. HILVERSUM B.V.;UTRECHT;6.630
D.P. HILVERSUM B.V.;UTRECHT;6.363
D.P. HILVERSUM B.V.;UTRECHT;6.099
D.P. OVERIJSSEL B.V.;UTRECHT;10.029
D.P. OVERIJSSEL B.V.;UTRECHT;6.198
D.P. OVERIJSSEL B.V.;UTRECHT;4.656
D.P. REMBRANDTWEG B.V.;AMSTELVEEN;6.432
D.P. STOCK B.V.;ZWIJNDRECHT;225
D.P.F.C. (DANCE POINT FITNESS       CENTRE) B.V.;ROTTERDAM;17.724
D.P.O. ONDERNEMINGEN B.V.;GENNEP;57.525
D.R. NOBEL B.V.;HALFWEG;7.503
D.R.I. RUBBER B.V.;WAALWIJK;59.343
D.R.S. B.V.;DRONTEN;49.326
D.S. RETAIL B.V.;ZAANDAM;1.794
D.S.D. STALINRICHTING B.V.;DOKKUM;12.288
D.S.U. DEURMANCHET SERVICE UDEN B.V.;UDEN;30.471
D.S.V. MEDIA B.V.;AMSTERDAM;5.988
D.T.M.-PRODUCTS B.V.;BUDEL;9.354
D.TOP B.V.;'S-HERTOGENBOSCH;69.831
D.U.C. DIVING B.V.;URK;76.524
D.V. MANAGEMENT B.V.;BARENDRECHT;49.008
D.W. INVESTMENTS B.V.;TILBURG;5.112
D.W.S. DIENSTVERLENING B.V.;ALMERE;6.885
D=3 B.V.;ZAANDAM;25.293
D01 SALON #2 B.V.;AMSTERDAM;4.929
D01 SALON TWEEDE NASSAUSTRAAT B.V.;AMSTERDAM;2.766
D2D HOLDING B.V.;ARNHEM;193.305
DA ANGELO B.V.;KERKRADE;11.010
DA ANGELO B.V.;MOLENHOEK LB;9.429
DA ATTILIO B.V.;BREDA;59.775
DA CARLO B.V.;GRONINGEN;31.530
DA COSTA TRADING B.V.;WANSSUM;12.669
DA DROGISTERIJ RENESSE V.O.F.;RENESSE;3.051
DA FRANCIS V.O.F.;ROERMOND;5.526
DA GABRIELE B.V.;HARDERWIJK;36.228
DA GIANFRANCO B.V.;ROTTERDAM;39.876
DA PIO V.O.F.;VALKENBURG LB;19.740
DA SILVA HORECA EXPLOITATIE B.V.;ZALTBOMMEL;10.155
DA VINCI B.V.;GRONINGEN;8.136
DA VINCI GROUP B.V.;ITTERVOORT;19.536
DA VINCI INTERNATIONAL B.V.;VORDEN;21.756
DA VINCI MODE B.V.;GELEEN;2.295
DA VIVENTE HAIRSTYLE B.V.;SON EN BREUGEL;24.600
DAALDER HORECA B.V;AMSTERDAM;48.837
DAALEN;AMSTERDAM;2.808
DAALHUIZEN;NEDERHORST DEN BERG;6.126
DAALMANS;HOOGERHEIDE;726
DAALS TRAITEURS;WINTERSWIJK;14.628
DAAMS;ZELHEM;8.736
DAAMS;STEIN LB;2.532
DAAN;STEENWIJKERWOLD;174
DAAN AND DAAN INTERNATIONAL B.V.;CRUQUIUS;55.104
DAAN B.V.;ALPHEN AAN DEN RIJN;27.636
DAAN DANSEN TIEL B.V.;TIEL;6.408
DAAN EXPLOITEERT B.V.;UTRECHT;24.717
DAANDELS HATTEM B.V.;HATTEM;38.583
DAANEN;BEUNINGEN GLD;699
DABA HUMMEN B.V.;HILVERSUM;15.714
DABKA B.V.;AMSTERDAM;26.190
DABO STUCADOORSBEDRIJF B.V.;SITTARD;117.945
DAC DETACHERING B.V.;ROTTERDAM;12.660
DAC ENTERPRISES B.V.;AMSTERDAM;65.178
DA-CA B.V.;'S-GRAVENHAGE;15.333
DACKUS;MAASTRICHT;65.418
DACON INSPECTION TECHNOLOGY B.V.;NIEUW-VENNEP;10.374
DADA WAN ARNHEM B.V.;ARNHEM;72.840
DADA WAN B.V.;MAASTRICHT;55.941
DADA WAN EINDHOVEN B.V.;EINDHOVEN;89.127
DADAONE EUROPE B.V.;AALSMEER;2.841
DADES REIZEN V.O.F.;'S-HERTOGENBOSCH;4.251
DADI;NIEUWEGEIN;1.227
DAEDALUS AVIATION SERVICES INC.;RIJEN;158.376
DAEDALUS B.V.;RIJEN;14.925
DAEDALUS PROJECTS EN TRADE BV;RIJEN;54.534
DAEL;YSSELSTEYN LB;7.548
DAEL RAIL B.V.;MAASDIJK;1.563
DAEL SECURITY B.V.;MAASDIJK;28.863
DAEL TELECOM B.V.;MAASDIJK;69.264
DAELE;MAKKUM FR;8.562
DAEMS;MIDDELBURG;1.314
DAEN'S GREEN HOUSE B.V.;UTRECHT;2.949
DAEN'S WINEBAR B.V.;UTRECHT;20.253
DAETA INFORMATIEVEILIGHEID & ADVIES B.V.;RIDDERKERK;18.141
DAFALLA MOHAMMED MUKHTAR;GIETHOORN;3.519
DAG;OSS;10.467
DAG1 B.V.;UTRECHT;80.091
DAGASAN;AMSTERDAM;3.618
DAGCENTRUM DE BEEK B.V.;NIEUW-SCHOONEBEEK;5.154
DAGDELEN;VEGHEL;2.640
DAGDEVIREN;EINDHOVEN;3.642
DAGDEVIREN;EINDHOVEN;144
DAGELIJKS LEKKER B.V.;HAARLEM;157.188
DAGELIJKSE ONDERSTEUNING & ZORG     ROTTERDAM B.V.;ROTTERDAM;17.703
DAGPAS B.V.;GRONINGEN;17.172
DAGVERSGROOTHANDEL BUITENDIJK B.V.;ROTTERDAM;4.641
DAH TIELEN;BERGEN OP ZOOM;1.206
DAHBOUR;BEVERWIJK;4.893
DAHIRI;WILNIS;1.914
DAHLI DECO EUROPE B.V.;OLDENZAAL;3.837
DAHMAN B.V.;NOOTDORP;13.986
DAI;HEERENVEEN;16.659
DAIKICHI B.V.;ALKMAAR;15.569
DAILY CREW B.V.;ROERMOND;33.048
DAILY FRESH FOOD B.V.;GELEEN;569.340
DAILY ONIONS B.V.;VALKENBURG LB;9.117
DAILY STYLE WARENHUIZEN B.V.;AMSTERDAM;48.345
DAILY WOMEN'S WEAR V.O.F.;DOETINCHEM;1.914
DAILY-IN V.O.F.;LOCHEM;11.286
DAINO;LEIDEN;5.865
DAJ PEETERS;ESSEN;2.718
DAK- EN GEVELBEKLEDING VAN DER      WIJNGAART B.V.;HEEMSKERK;13.755
DAKA AMERSFOORT B.V.;AMERSFOORT;33.153
DAKA LEIDSCHENDAM B.V.;LEIDSCHENDAM;11.295
DAKA ROTTERDAM CENTRUM B.V.;ROTTERDAM;9.327
DAKA ROTTERDAM NOORD B.V.;ROTTERDAM;44.778
DAKA ROTTERDAM OOST B.V.;ROTTERDAM;15.975
DAKA ROTTERDAM ZUID B.V.;ROTTERDAM;14.415
DAKA SSC B.V.;ROTTERDAM;85.191
DAKA UTRECHT B.V.;ROTTERDAM;25.698
DAKA.NL B.V.;ROTTERDAM;15.093
DAKAMBACHT B.V.;WORMER;5.865
DAKEX B.V.;HARDERWIJK;6.519
DAKINNOVATOR B.V.;BERKEL EN RODENRIJS;5.547
DAKOTA BEHEER B.V.;AMSTERDAM;10.047
DAKOTA HOLDING B.V.;WESTERVOORT;17.478
DAKOTA SPIJKENISSE B.V.;SPIJKENISSE;5.940
DAKPARK STEAK AND MORE B.V.;ROTTERDAM;10.839
DAKRIET;ROTTERDAM;867
DAKSH B.V.;EINDHOVEN;25.311
DAKTIVA KOERIERS B.V.;ALMERE;9.492
DAL;ROTTERDAM;1.449
DAL;HILVARENBEEK;993
DALDEROP;NUENEN;5.676
DALEN;GRONINGEN;18.177
DALEN;PAPENDRECHT;12.435
DALEN;ACHTERVELD;8.121
DALEN;ROTTERDAM;5.253
DALEN;NIJMEGEN;2.142
DALEN;MIDDELBURG;1.683
DALEN;LAREN NH;1.101
DALFSEN;UITHOORN;864
DALHUISEN;SMAKT;13.251
DALHUISEN;APELDOORN;2.895
DALISHA B.V.;AMSTERDAM;2.632
DALKILIC;HOOGVLIET ROTTERDAM;5.788
DALLASERRA RIDDERKERK SPARES        (D.R.S.) B.V.;RIDDERKERK;5.400
DALLINGA;VOGELWAARDE;8.193
DALLINGA;APELDOORN;4.767
DALLINGA;WORMERVEER;774
DALMACIJA V.O.F.;BRUNSSUM;12.168
DALO HORECA B.V.;TILBURG;21.252
DALSEM;KAMPEN;1.764
DALSEM;KAMPEN;1.455
DALTON 17 HORECA B.V.;HARDERWIJK;20.901
DALUEVSO BEHEER B.V.;APELDOORN;5.901
DALUM;DRIEBERGEN-RIJSENBURG;7.668
DAM;OVERVEEN;28.206
DAM;UTRECHT;9.627
DAM;HEEMSKERK;8.205
DAM;HENGELO OV;4.614
DAM;ALBLASSERDAM;2.757
DAM;SINT-MAARTENSDIJK;2.350
DAM;HELMOND;2.094
DAM;SCHAIJK;1.923
DAM;ZWANENBURG;1.425
DAM;WIJK BIJ DUURSTEDE;1.245
DAM;STAD AAN 'T HARINGVLIET;1.236
DAM;SCHOONHOVEN;609
DAM;ALKMAAR;576
DAM;EE;564
DAM;STEENWIJK;276
DAM 65 HORECA B.V.;ALBLASSERDAM;115.785
DAM 9 B.V.;HOOFDDORP;1.296.777
DAM FEESTARTIKELEN B.V.;AMSTERDAM;4.848
DAM KLEINHANDEL IN SOUVENIRS-       ARTIKELEN BV;AMSTERDAM;11.748
DAM KOLSTER;EGMOND AAN ZEE;2.001
DAM SQUARE F&B B.V.;AMSTERDAM;277.473
DAM SQUARE SOUVENIRS B.V.;AMSTERDAM;98.607
DAM STEAKHOUSE V.O.F.;AMSTERDAM;17.112
DAM WICHERS;WIERDEN;453
DAMARANY;GELDROP;4.230
DAMAVE;HILLEGOM;3.093
DAMCO ALUMINIUM DELFZIJL COOPERATIE U.A.;FARMSUM;1.615.035
DAMCO PROMOTION B.V.;LOSSER;2.193
DAMEN;SCHIEDAM;36.780
DAMEN;BREDA;8.394
DAMEN;ELST GLD;2.817
DAMEN;MEERLE;1.509
DAMEN B.V.;HAARLEM;9.147
DAMEN GIFTS B.V.;LICHTENVOORDE;1.473
DAMEN PLASTICS B.V.;NUENEN;20.379
DAMEN PROJECTINRICHTING B.V.;HOOGEVEEN;7.020
DAMEN SHIPREPAIR & CONVERSION       HOLDING B.V.;SCHIEDAM;278.913
DAMEN SHIPREPAIR AMSTERDAM B.V.;AMSTERDAM;702.321
DAMEN SHIPREPAIR HARLINGEN B.V.;HARLINGEN;173.022
DAMEN SHIPREPAIR ORANJEWERF B.V.;AMSTERDAM;109.761
DAMEN SHIPREPAIR ROTTERDAM B.V.;SCHIEDAM;1.596.822
DAMEN SHIPREPAIR VLISSINGEN B.V.;RITTHEM;388.089
DAMEN VLOEREN B.V.;ARNHEM;16.557
DAMES & HEREN KAPSALON DE NIEUWE    ROOS V.O.F.;DELFT;7.587
DAMES- EN HERENKAPSALON DE KAPPERIJ C.V.;APELDOORN;5.457
DAMES- EN HERENKAPSALON LEUS HENGELO(O) B.V.;BORNE;15.147
DAMES EN HERENKAPSALON WILLEMS      V.O.F.;TILBURG;3.798
DAMES- EN HERENKAPSALONS VAN PELT   C.V.;HENDRIK-IDO-AMBACHT;6.027
DAMESBADHUIS SCHOON B.V. IN         LIQUIDATIE;AMERSFOORT;2.988
DAMES-EN HERENKAPSALON GIJSBERS     BOXMEER V.O.F.;BOXMEER;10.752
DAMESMODE VLOT B.V.;ALBLASSERDAM;3.870
D'AMIE B.V.;MAASTRICHT;1.509
DAMMAN;AMSTERDAM;3.741
DAMME;AMERSFOORT;3.282
DAMMEKANT B.V.;BODEGRAVEN;21.924
DAMMERS;KERKRADE;2.679
DAMO CLEANING SERVICES B.V.;AMSTERDAM;12.636
